year,series,region_or_material,value,unit,source,method
2011,eolrr,Ge,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,osr,As,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,rc,As,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,eolrr,As,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,rc,Se,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_range_low
2011,rc,Se,10.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_range_high
2011,eolrr,Se,5.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,eolrr,Sr,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,osr,Y,0.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_point
2011,rc,Y,0.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_point
2011,eolrr,Y,0.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_point
2011,rc,Zr,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_range_low
2011,rc,Zr,10.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_range_high
2011,eolrr,Zr,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,osr,Cd,76.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Plachy (2003)",transcribed_table_point
2011,rc,Cd,25.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Morrow (2009)",transcribed_table_point
2011,rc,Cd,32.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Plachy (2003)",transcribed_table_point
2011,rc,Cd,50.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_range_low
2011,rc,Cd,75.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_range_high
2011,eolrr,Cd,15.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Plachy (2003)",transcribed_table_point
2011,osr,In,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_point
2011,rc,In,25.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_range_low
2011,rc,In,50.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_range_high
2011,eolrr,In,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,osr,Sb,80.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Carlin (2006)",transcribed_table_point
2011,osr,Sb,10.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,rc,Sb,20.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Carlin (2006)",transcribed_table_point
